zone,zone_lat,zone_lon,predicted_violations,covered,displaced_out,displaced_in,residual_predicted
BTP130 - GD Mara Junction,12.908069806993007,77.60081927185315,0.1475555,False,0.0,0.0,0.15
"BTP117 - 9th Cross, Kanakapura Road",12.91238351302521,77.57324936218488,0.29641885,False,0.0,0.0,0.3
"BTP099 - Cash Pharmacy, Residency Road",12.969258660389611,77.60025074188312,0.10811977,False,0.0,0.0,0.11
BTP215 - Vanivillas Junction,12.946164027505311,77.57023107982037,0.13282716,False,0.0,0.0,0.13
BTP180 - Swagath Poornima Theatre,12.960504212931033,77.58728456206896,0.17603138,False,0.0,0.03,0.21
BTP098 - Nayandahalli Junction,12.944968452830189,77.52777250314465,0.27696058,False,0.0,0.0,0.28
BTP041 - Gopal Gowda Circle,12.977367761450381,77.59045643778626,0.21672009,False,0.0,0.07,0.29
BTP017 - Attiguppe Circle,12.960579954599407,77.52975111008902,0.015373715,False,0.0,0.0,0.02
BTP100 - Richmond Circle,12.962794659409594,77.59828995424354,0.06596064,False,0.0,0.0,0.07
BTP078 - NR Square Junction,12.965887268780488,77.58540834780489,0.17849608,True,0.05,0.0,0.13
BTP219 - Canara Bank Junction,12.931163036825396,77.58447701111112,0.0799663,False,0.0,0.0,0.08
BTP146 - Domlur Water Tank,12.960501909016394,77.63876197213115,0.25649008,False,0.0,0.0,0.26
BTP109 - Dewan Madhava Rao Junction,12.940876033076922,77.5724223026923,0.14948645,False,0.0,0.0,0.15
"BTP145 - Sri Hatti Maramma Circle, Domluru",12.961289213222164,77.63616230302713,0.19324657,False,0.0,0.0,0.19
BTP218 - Syndicate Bank Junction,12.934745061184211,77.58441769605264,0.045438863,False,0.0,0.0,0.05
"BTP163 - 16th Main Road, BTM Layout",12.915018361967213,77.6085338095082,0.06336504,False,0.0,0.0,0.06
"BTP221 - 15th Cross, 24th Main, JP Nagar",12.904821129473683,77.58624848105264,0.25488916,False,0.0,0.0,0.25
BTP214 - 5th Main Chamrajpet  Junction,12.966109929586068,77.54990258726592,0.18372726,False,0.0,0.0,0.18
BTP225 - Geetha Junction,12.928369027272728,77.58585405849803,0.037292287,False,0.0,0.0,0.04
BTP171 - Indian Express (Balekundri),12.986118457731958,77.59866572268041,0.21483186,True,0.06,0.0,0.15
"BTP177 - Aurobindo Circle, ORR",12.916604498192772,77.58521114759036,0.14643414,False,0.0,0.0,0.15
BTP052 - CID Carlton House Junction,12.980892975739932,77.58766559770304,0.112536594,True,0.03,0.0,0.08
BTP047 - Vidhan Soudha Metro Station,12.979841192592591,77.59251356560847,0.11690518,False,0.0,0.0,0.12
BTP034 - LRDE Junction,12.988376719514173,77.59181692993047,0.113099,True,0.03,0.0,0.08
BTP037 - KR Circle,12.976492461780106,77.58641872356021,0.11123438,True,0.03,0.0,0.08
BTP075 - Police Corner,12.96872643839462,77.58633180090612,0.14563161,False,0.0,0.0,0.15
BTP220 - Puttanna Junction,12.928850529296875,77.5828325640625,0.028226193,False,0.0,0.0,0.03
BTP009 - Prakash Nagar Junction,12.992510784831461,77.5575310719101,0.09003056,False,0.0,0.0,0.09
BTP132 - Anepalya Junction,12.951218263265307,77.60693767210884,0.145727,False,0.0,0.0,0.15
"BTP186 - 9th Cross, 4th Main, Jayanagar",12.939346947891531,77.58306246593123,0.12074562,False,0.0,0.0,0.12
"BTP197 - 9th Cross, 24th Main, JP Nagar",12.911649257920791,77.58617407673268,0.06409381,False,0.0,0.0,0.06
BTP092 - Bangalore Builders Junction,12.959349637647058,77.5557458717647,0.12793598,False,0.0,0.0,0.13
BTP120 - Lalbagh Main Gate Junction,12.954161373619632,77.58463449325154,0.07383964,False,0.0,0.0,0.07
"BTP102 - BMTC Junction, KH Road",12.95558064,77.59289194142858,0.07624105,False,0.0,0.0,0.08
BTP105 - Shivasankara Circle,12.956886487078652,77.57419385617978,0.0974965,True,0.03,0.0,0.07
BTP119 - Minerva Circle,12.955120233734938,77.58029479216867,0.063625835,False,0.0,0.43,0.49
BTP216 - Yediyur Junction,12.93802209089189,77.57687954027875,0.1373507,False,0.0,0.0,0.14
BTP122 - Siddapura Junction,12.948459547286822,77.59291910930233,0.103695594,False,0.0,0.0,0.1
"BTP168 - MSR Building, JC Road",12.961178251219511,77.5842871495935,0.11377728,True,0.03,0.0,0.08
BTP166 - Coffee Board Junction,12.984923901801801,77.59434976306306,0.09320076,False,0.0,0.1,0.19
BTP173 - TMC,12.982320013533833,77.59870472105264,0.07718323,True,0.02,0.0,0.06
BTP203 - RRMR Junction,12.967407398347108,77.59355071239669,0.052680604,False,0.0,0.0,0.05
BTP207 - 8th Main Road Basaveshwara Nagar,12.991911170558376,77.53847922335025,0.043865666,False,0.0,0.0,0.04
BTP079 - Town Hall Junction,12.964662841935484,77.58480971935484,0.03386912,True,0.01,0.0,0.02
