zone,zone_kind,bin_start,zone_lat,zone_lon,predicted_violations,risk,priority_score,congestion_index,est_capacity_reduction_pct,pcu_load,forecast_window_start
GRID_12.97_77.55,grid,2024-04-09,12.968153701260505,77.54658635714286,0.11235477,Low,0.9,0.4,0.2,0.1,2024-04-09
GRID_13.0_77.6,grid,2024-04-09,12.999948330939228,77.59758635359117,0.12532574,Low,0.9,0.5,0.3,0.13,2024-04-09
GRID_12.99_77.5,grid,2024-04-09,12.989641079281443,77.5018067672808,0.101696774,Low,0.9,0.3,0.2,0.08,2024-04-09
GRID_12.9_77.64,grid,2024-04-09,12.899680059840946,77.63855868132059,0.21649247,Low,0.9,1.2,0.7,0.3,2024-04-09
GRID_12.91_77.7,grid,2024-04-09,12.906778402536801,77.69693050813986,0.1380016,Low,0.9,0.4,0.3,0.1,2024-04-09
GRID_13.02_77.64,grid,2024-04-09,13.022117409185599,77.63916037521675,0.06095849,Low,0.9,0.2,0.1,0.04,2024-04-09
GRID_13.06_77.58,grid,2024-04-09,13.060511651629975,77.57816062433398,0.17476794,Low,0.9,0.8,0.5,0.2,2024-04-09
GRID_12.98_77.58,grid,2024-04-09,12.978809615697676,77.58163294825582,0.08827808,Low,0.8,0.4,0.2,0.09,2024-04-09
GRID_12.99_77.52,grid,2024-04-09,12.98722609525669,77.51957937937212,0.05486654,Low,0.8,0.2,0.1,0.04,2024-04-09
GRID_12.98_77.69,grid,2024-04-09,12.979632965093632,77.69449425280706,0.1437211,Low,0.8,0.9,0.6,0.23,2024-04-09
GRID_13.05_77.75,grid,2024-04-09,13.045926317261904,77.75030918750001,0.12518172,Low,0.8,0.7,0.4,0.19,2024-04-09
GRID_12.97_77.7,grid,2024-04-09,12.968620753902266,77.70114612497116,0.14112681,Low,0.8,0.9,0.5,0.22,2024-04-09
GRID_13.05_77.57,grid,2024-04-09,13.047636456886229,77.57311373712575,0.13034892,Low,0.8,0.5,0.3,0.13,2024-04-09
GRID_13.07_77.63,grid,2024-04-09,13.070272051149425,77.63099281954023,0.07999334,Low,0.7,0.4,0.2,0.09,2024-04-09
GRID_13.05_77.53,grid,2024-04-09,13.050728321658987,77.52600922764977,0.014025046,Low,0.7,0.0,0.0,0.01,2024-04-09
GRID_12.96_77.67,grid,2024-04-09,12.958685702166065,77.66806378772563,0.04940337,Low,0.7,0.1,0.1,0.04,2024-04-09
GRID_13.05_77.5,grid,2024-04-09,13.04778539225,77.49977408316667,0.056466818,Low,0.7,0.2,0.1,0.05,2024-04-09
GRID_13.06_77.55,grid,2024-04-09,13.057321547567568,77.54695945351352,0.092628665,Low,0.7,0.4,0.2,0.09,2024-04-09
GRID_12.98_77.65,grid,2024-04-09,12.979847225146198,77.65022597543859,0.07745322,Low,0.7,0.4,0.2,0.09,2024-04-09
GRID_12.82_77.69,grid,2024-04-09,12.819648171111112,77.68820439444445,0.043362007,Low,0.7,0.2,0.1,0.06,2024-04-09
GRID_12.87_77.66,grid,2024-04-09,12.870396453777778,77.6564710586535,0.07944745,Low,0.7,0.5,0.3,0.12,2024-04-09
